symbol,hits,misses,total,win_rate_pct,avg_pnl_usd,sum_pnl_usd,max_pnl_usd,min_pnl_usd
AAVE/USDC,9,3,12,75.0,277.77,3333.28,1108.02,-1056.83
CRV/USDC,9,3,12,75.0,294.73,3536.79,1205.87,-1016.46
DAI/USDC,12,0,12,100.0,583.12,6997.47,1220.4,303.92
LINK/USDC,12,1,13,92.31,577.37,7505.78,1326.58,-394.86
UNI/USDC,7,5,12,58.33,4.73,56.78,1056.9,-1156.54
USDC/USDT,8,4,12,66.67,358.75,4304.98,1309.17,-438.93
WBTC/USDC,10,2,12,83.33,348.03,4176.33,1165.49,-992.72
WETH/USDC,9,3,12,75.0,391.15,4693.83,1112.19,-461.2
